Timestamp,Received Data
2026-01-31 15:50:45,SNSR, 202.58
2026-01-31 15:50:55,SNSR, 202.58
2026-01-31 15:51:05,SNSR, 202.59
2026-01-31 15:51:15,SNSR, 202.49
2026-01-31 15:51:25,SNSR, 202.58
2026-01-31 15:51:35,SNSR, 202.13
2026-01-31 15:51:45,SNSR, 202.11
2026-01-31 15:51:55,SNSR, 202.20
2026-01-31 15:52:05,SNSR, 202.15
2026-01-31 15:52:15,SNSR, 202.20
2026-01-31 15:52:25,SNSR, 202.99
2026-01-31 15:52:35,SNSR, 202.58
2026-01-31 15:52:46,SNSR, 202.13
2026-01-31 15:52:55,SNSR, 202.64
2026-01-31 15:53:06,SNSR, 202.49
2026-01-31 15:53:16,SNSR, 202.64
2026-01-31 15:53:26,SNSR, 202.23
2026-01-31 15:53:36,SNSR, 202.20
2026-01-31 15:53:46,SNSR, 202.34
2026-01-31 15:53:56,SNSR, 202.63
2026-01-31 15:54:06,SNSR, 202.63
2026-01-31 15:54:16,SNSR, 202.06
2026-01-31 15:54:26,SNSR, 202.85
2026-01-31 15:54:36,SNSR, 202.20
2026-01-31 15:54:46,SNSR, 202.58
2026-01-31 15:54:56,SNSR, 202.56
2026-01-31 15:55:06,SNSR, 202.13
2026-01-31 15:55:16,SNSR, 202.15
2026-01-31 15:55:28,SNSR, 202.20
2026-01-31 15:55:36,SNSR, 202.22
2026-01-31 15:55:47,SNSR, 202.27
2026-01-31 15:55:56,SNSR, 202.49
2026-01-31 15:56:07,SNSR, 202.64
2026-01-31 15:56:17,SNSR, 202.27
2026-01-31 15:56:27,SNSR, 202.28
2026-01-31 15:56:36,SNSR, 202.28
2026-01-31 15:56:47,SNSR, 202.58
2026-01-31 15:56:57,SNSR, 202.13
2026-01-31 15:57:07,SNSR, 202.56
2026-01-31 15:57:17,SNSR, 202.64
2026-01-31 15:57:27,SNSR, 202.73
2026-01-31 15:57:37,SNSR, 202.20
2026-01-31 15:57:47,SNSR, 202.22
2026-01-31 15:57:57,SNSR, 202.13
2026-01-31 15:58:07,SNSR, 202.58
2026-01-31 15:58:17,SNSR, 202.13
2026-01-31 15:58:29,SNSR, 202.58
2026-01-31 15:58:37,SNSR, 202.15
2026-01-31 15:58:48,SNSR, 202.64
2026-01-31 15:58:57,SNSR, 202.13
2026-01-31 15:59:07,SNSR, 202.63
2026-01-31 15:59:17,SNSR, 202.58
2026-01-31 15:59:27,SNSR, 202.04
2026-01-31 15:59:37,SNSR, 202.56
2026-01-31 15:59:48,SNSR, 202.58
2026-01-31 15:59:58,SNSR, 202.15
2026-01-31 16:00:08,SNSR, 202.08
2026-01-31 16:00:18,SNSR, 202.13
2026-01-31 16:00:28,SNSR, 202.13
2026-01-31 16:00:38,SNSR, 202.15
2026-01-31 16:00:48,SNSR, 202.56
2026-01-31 16:00:58,SNSR, 202.27
2026-01-31 16:01:08,SNSR, 202.20
2026-01-31 16:01:18,SNSR, 202.63
2026-01-31 16:01:28,SNSR, 202.22
2026-01-31 16:01:39,SNSR, 202.20
2026-01-31 16:01:48,SNSR, 202.70
2026-01-31 16:01:58,SNSR, 202.20
2026-01-31 16:02:08,SNSR, 202.22
2026-01-31 16:02:19,SNSR, 202.20
2026-01-31 16:02:28,SNSR, 202.64
2026-01-31 16:02:38,SNSR, 202.15
2026-01-31 16:02:49,SNSR, 202.22
2026-01-31 16:02:59,SNSR, 202.64
2026-01-31 16:03:09,SNSR, 202.22
2026-01-31 16:03:19,SNSR, 202.28
2026-01-31 16:03:29,SNSR, 202.22
2026-01-31 16:03:39,SNSR, 202.20
2026-01-31 16:03:49,SNSR, 202.28
2026-01-31 16:03:59,SNSR, 202.58
2026-01-31 16:04:09,SNSR, 202.20
2026-01-31 16:04:19,SNSR, 202.20
2026-01-31 16:04:29,SNSR, 202.20
2026-01-31 16:04:39,SNSR, 202.56
2026-01-31 16:04:49,SNSR, 202.56
2026-01-31 16:04:59,SNSR, 202.15
2026-01-31 16:05:09,SNSR, 202.15
2026-01-31 16:05:20,SNSR, 202.13
2026-01-31 16:05:30,SNSR, 202.06
2026-01-31 16:05:39,SNSR, 202.13
2026-01-31 16:05:49,SNSR, 202.06
2026-01-31 16:06:00,SNSR, 202.56
2026-01-31 16:06:10,SNSR, 202.13
2026-01-31 16:06:20,SNSR, 202.04
2026-01-31 16:06:30,SNSR, 202.44
2026-01-31 16:06:40,SNSR, 201.98
2026-01-31 16:06:50,SNSR, 202.44
2026-01-31 16:07:00,SNSR, 201.98
2026-01-31 16:07:10,SNSR, 202.42
2026-01-31 16:07:20,SNSR, 201.99
2026-01-31 16:07:30,SNSR, 201.99
2026-01-31 16:07:40,SNSR, 201.91
2026-01-31 16:07:50,SNSR, 202.44
2026-01-31 16:08:01,SNSR, 201.91
2026-01-31 16:08:10,SNSR, 202.42
2026-01-31 16:08:20,SNSR, 201.91
2026-01-31 16:08:30,SNSR, 201.99
2026-01-31 16:08:40,SNSR, 202.42
2026-01-31 16:08:50,SNSR, 202.35
2026-01-31 16:09:01,SNSR, 201.91
2026-01-31 16:09:11,SNSR, 201.99
2026-01-31 16:09:21,SNSR, 201.91
2026-01-31 16:09:31,SNSR, 201.98
2026-01-31 16:09:41,SNSR, 201.99
2026-01-31 16:09:51,SNSR, 201.91
2026-01-31 16:10:01,SNSR, 201.91
2026-01-31 16:10:11,SNSR, 201.92
2026-01-31 16:10:21,SNSR, 202.42
2026-01-31 16:10:31,SNSR, 202.37
2026-01-31 16:10:41,SNSR, 202.34
2026-01-31 16:10:51,SNSR, 201.98
2026-01-31 16:11:01,SNSR, 201.98
2026-01-31 16:11:11,SNSR, 201.98
2026-01-31 16:11:22,SNSR, 201.92
2026-01-31 16:11:32,SNSR, 201.92
2026-01-31 16:11:42,SNSR, 202.71
2026-01-31 16:11:51,SNSR, 201.99
2026-01-31 16:12:01,SNSR, 201.91
2026-01-31 16:12:12,SNSR, 202.35
2026-01-31 16:12:22,SNSR, 201.99
2026-01-31 16:12:32,SNSR, 202.35
2026-01-31 16:12:42,SNSR, 202.42
2026-01-31 16:12:52,SNSR, 202.42
2026-01-31 16:13:02,SNSR, 201.92
2026-01-31 16:13:12,SNSR, 201.99
2026-01-31 16:13:22,SNSR, 201.98
2026-01-31 16:13:32,SNSR, 202.42
2026-01-31 16:13:42,SNSR, 201.99
2026-01-31 16:13:52,SNSR, 202.49
2026-01-31 16:14:02,SNSR, 201.99
2026-01-31 16:14:12,SNSR, 202.01
2026-01-31 16:14:23,SNSR, 202.01
2026-01-31 16:14:32,SNSR, 202.35
2026-01-31 16:14:43,SNSR, 202.42
2026-01-31 16:14:53,SNSR, 201.92
2026-01-31 16:15:02,SNSR, 202.78
2026-01-31 16:15:13,SNSR, 201.91
2026-01-31 16:15:23,SNSR, 202.78
2026-01-31 16:15:33,SNSR, 202.35
2026-01-31 16:15:43,SNSR, 202.01
2026-01-31 16:15:53,SNSR, 201.92
2026-01-31 16:16:03,SNSR, 202.28
2026-01-31 16:16:13,SNSR, 201.92
2026-01-31 16:16:23,SNSR, 202.35
2026-01-31 16:16:33,SNSR, 201.99
2026-01-31 16:16:43,SNSR, 202.35
2026-01-31 16:16:53,SNSR, 201.91
2026-01-31 16:17:04,SNSR, 202.35
2026-01-31 16:17:13,SNSR, 202.27
2026-01-31 16:17:23,SNSR, 201.92
2026-01-31 16:17:33,SNSR, 201.92
2026-01-31 16:17:43,SNSR, 202.35
2026-01-31 16:17:53,SNSR, 202.27
2026-01-31 16:18:04,SNSR, 201.86
2026-01-31 16:18:14,SNSR, 202.27
2026-01-31 16:18:23,SNSR, 202.35
2026-01-31 16:18:34,SNSR, 202.28
